File_name,Video_length,Threshold_0.0000,Duplicate_names_0.0000,Is_duplicate_0.0000,Total_non_duplicates_0.0000,Threshold_0.0001,Duplicate_names_0.0001,Is_duplicate_0.0001,Total_non_duplicates_0.0001,Threshold_0.0002,Duplicate_names_0.0002,Is_duplicate_0.0002,Total_non_duplicates_0.0002,Threshold_0.0003,Duplicate_names_0.0003,Is_duplicate_0.0003,Total_non_duplicates_0.0003,Threshold_0.0004,Duplicate_names_0.0004,Is_duplicate_0.0004,Total_non_duplicates_0.0004,Threshold_0.0010,Duplicate_names_0.0010,Is_duplicate_0.0010,Total_non_duplicates_0.0010
TNS_0010_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0011_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0012_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0013_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0014_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0015_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0016_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0017_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0018_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0019_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0020_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0021_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0022_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0030_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0031_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0040_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0041_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0042_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0043_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0044_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0045_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0046_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0047_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0048_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0049_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0050_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0051_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0052_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0053_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0054_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0060_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
TNS_0061_.mp4,1,0.0,None,False,1212,0.0001,None,False,1358,0.0002,None,False,1298,0.0003,None,False,1286,0.0004,None,False,1282,0.001,None,False,1282
