File_name,Video_length_clips,Video_length_seconds,Threshold_0.0000,Duplicate_names_0.0000,Is_duplicate_0.0000,Duplicate_clip_count_0.0000,Total_non_duplicates_0.0000,Threshold_0.0001,Duplicate_names_0.0001,Is_duplicate_0.0001,Duplicate_clip_count_0.0001,Total_non_duplicates_0.0001,Threshold_0.0002,Duplicate_names_0.0002,Is_duplicate_0.0002,Duplicate_clip_count_0.0002,Total_non_duplicates_0.0002,Threshold_0.0003,Duplicate_names_0.0003,Is_duplicate_0.0003,Duplicate_clip_count_0.0003,Total_non_duplicates_0.0003,Threshold_0.0004,Duplicate_names_0.0004,Is_duplicate_0.0004,Duplicate_clip_count_0.0004,Total_non_duplicates_0.0004,Threshold_0.0010,Duplicate_names_0.0010,Is_duplicate_0.0010,Duplicate_clip_count_0.0010,Total_non_duplicates_0.0010
TNS_0029_V.mp4,3,30,0.0,None,False,0,154,0.0001,None,False,0,154,0.0002,None,False,0,154,0.0003,None,False,0,154,0.0004,None,False,0,154,0.001,None,False,0,154
TNS_0030_V.mp4,10,100,0.0,TNS_0031_V.mp4,True,6,154,0.0001,TNS_0031_V.mp4,True,8,154,0.0002,TNS_0031_V.mp4,True,10,154,0.0003,TNS_0031_V.mp4,True,10,154,0.0004,TNS_0031_V.mp4,True,10,154,0.001,TNS_0031_V.mp4,True,10,154
TNS_0031_V.mp4,10,100,0.0,TNS_0030_V.mp4,True,6,154,0.0001,TNS_0030_V.mp4,True,8,154,0.0002,TNS_0030_V.mp4,True,10,154,0.0003,TNS_0030_V.mp4,True,10,154,0.0004,TNS_0030_V.mp4,True,10,154,0.001,TNS_0030_V.mp4,True,10,154
TNS_0032_V.mp4,4,40,0.0,None,False,0,154,0.0001,None,False,0,154,0.0002,None,False,0,154,0.0003,None,False,0,154,0.0004,None,False,0,154,0.001,None,False,0,154
TNS_0033_V.mp4,7,70,0.0,None,False,0,154,0.0001,None,False,0,154,0.0002,None,False,0,154,0.0003,None,False,0,154,0.0004,None,False,0,154,0.001,None,False,0,154
TNS_0034_V.mp4,10,100,0.0,None,False,0,154,0.0001,None,False,0,154,0.0002,None,False,0,154,0.0003,None,False,0,154,0.0004,None,False,0,154,0.001,None,False,0,154
TNS_0035_V.mp4,5,50,0.0,None,False,0,154,0.0001,None,False,0,154,0.0002,None,False,0,154,0.0003,None,False,0,154,0.0004,None,False,0,154,0.001,None,False,0,154
TNS_0036_V.mp4,10,100,0.0,None,False,0,154,0.0001,None,False,0,154,0.0002,None,False,0,154,0.0003,None,False,0,154,0.0004,None,False,0,154,0.001,None,False,0,154
TNS_0037_V.mp4,2,20,0.0,None,False,0,154,0.0001,None,False,0,154,0.0002,None,False,0,154,0.0003,None,False,0,154,0.0004,None,False,0,154,0.001,None,False,0,154
TNS_0038_V.mp4,2,20,0.0,None,False,0,154,0.0001,None,False,0,154,0.0002,None,False,0,154,0.0003,None,False,0,154,0.0004,None,False,0,154,0.001,None,False,0,154
TNS_0039_V.mp4,8,80,0.0,None,False,0,154,0.0001,None,False,0,154,0.0002,None,False,0,154,0.0003,None,False,0,154,0.0004,None,False,0,154,0.001,None,False,0,154
TNS_0040_V.mp4,8,80,0.0,None,False,0,154,0.0001,None,False,0,154,0.0002,None,False,0,154,0.0003,None,False,0,154,0.0004,None,False,0,154,0.001,None,False,0,154
TNS_0041_V.mp4,5,50,0.0,None,False,0,154,0.0001,None,False,0,154,0.0002,None,False,0,154,0.0003,None,False,0,154,0.0004,None,False,0,154,0.001,None,False,0,154
TNS_0042_V.mp4,6,60,0.0,None,False,0,154,0.0001,None,False,0,154,0.0002,None,False,0,154,0.0003,None,False,0,154,0.0004,None,False,0,154,0.001,None,False,0,154
TNS_0043_V.mp4,3,30,0.0,None,False,0,154,0.0001,None,False,0,154,0.0002,None,False,0,154,0.0003,None,False,0,154,0.0004,None,False,0,154,0.001,None,False,0,154
TNS_0044_V.mp4,2,20,0.0,None,False,0,154,0.0001,None,False,0,154,0.0002,None,False,0,154,0.0003,None,False,0,154,0.0004,None,False,0,154,0.001,None,False,0,154
TNS_0045_V.mp4,7,70,0.0,None,False,0,154,0.0001,None,False,0,154,0.0002,None,False,0,154,0.0003,None,False,0,154,0.0004,None,False,0,154,0.001,None,False,0,154
TNS_0046_V.mp4,7,70,0.0,None,False,0,154,0.0001,None,False,0,154,0.0002,None,False,0,154,0.0003,None,False,0,154,0.0004,None,False,0,154,0.001,None,False,0,154
TNS_0047_V.mp4,2,20,0.0,None,False,0,154,0.0001,None,False,0,154,0.0002,None,False,0,154,0.0003,None,False,0,154,0.0004,None,False,0,154,0.001,None,False,0,154
TNS_0048_V.mp4,9,90,0.0,None,False,0,154,0.0001,None,False,0,154,0.0002,None,False,0,154,0.0003,None,False,0,154,0.0004,None,False,0,154,0.001,None,False,0,154
TNS_0049_V.mp4,7,70,0.0,None,False,0,154,0.0001,None,False,0,154,0.0002,None,False,0,154,0.0003,None,False,0,154,0.0004,None,False,0,154,0.001,None,False,0,154
TNS_0050_V.mp4,1,10,0.0,None,False,0,154,0.0001,None,False,0,154,0.0002,None,False,0,154,0.0003,None,False,0,154,0.0004,None,False,0,154,0.001,None,False,0,154
TNS_0051_V.mp4,10,100,0.0,None,False,0,154,0.0001,None,False,0,154,0.0002,None,False,0,154,0.0003,None,False,0,154,0.0004,None,False,0,154,0.001,None,False,0,154
TNS_0052_V.mp4,3,30,0.0,None,False,0,154,0.0001,None,False,0,154,0.0002,None,False,0,154,0.0003,None,False,0,154,0.0004,None,False,0,154,0.001,None,False,0,154
